Efficiency,EMAIL,KNOWLEDGEBASE
10600.0,5,9
9533.0,26,21
11200.0,21,2
10204.0,24,9
11138.0,1,7
9800.0,8,17
10800.0,26,5
10600.0,18,6
9842.0,20,13
10000.0,2,27
10541.0,4,10
9800.0,21,14
9650.0,29,19
11452.0,24,1
9547.0,26,26
9600.0,29,23
11200.0,21,2
9600.0,29,27
11249.0,6,4
9677.0,12,18
9689.0,11,18
9867.0,12,14
10211.0,24,9
9800.0,24,14
9527.0,26,25
9800.0,23,15
10200.0,21,9
9916.0,9,15
9823.0,21,13
9919.0,22,12
10436.0,24,7
10454.0,11,8
9715.0,13,17
9800.0,26,15
9600.0,12,24
9600.0,26,21
11357.0,8,3
9924.0,18,12
9621.0,26,18
10653.0,12,6
10070.0,1,19
10200.0,0,19
9438.0,22,24
11006.0,20,3
9600.0,29,24
10820.0,20,4
9600.0,17,29
11920.0,2,2
9634.0,8,24
11742.0,2,3
11655.0,22,0
10448.0,29,8
9600.0,10,21
10948.0,25,4
9709.0,20,15
10699.0,21,5
9600.0,18,19
9600.0,19,18
9600.0,29,27
9516.0,14,24
11356.0,12,2
9600.0,12,21
10338.0,8,10
11047.0,17,3
11115.0,14,3
10000.0,1,25
10444.0,16,7
10000.0,1,25
11489.0,9,2
10000.0,1,27
10074.0,19,10
12000.0,1,2
11651.0,17,0
9414.0,21,24
9868.0,16,13
9527.0,17,29
9800.0,27,15
9608.0,9,26
10518.0,13,7
10331.0,0,16
10000.0,6,15
9800.0,6,20
9800.0,20,14
9604.0,10,22
9521.0,25,26
9811.0,6,19
10001.0,7,14
10416.0,21,7
10635.0,2,10
10119.0,0,29
10200.0,2,16
9600.0,28,25
9840.0,18,13
9648.0,9,28
10600.0,5,9
10000.0,27,13
11062.0,25,3
10200.0,14,10
10800.0,6,7
11000.0,3,7
9904.0,3,26
10000.0,15,12
10200.0,18,9
9850.0,19,13
9494.0,15,27
9542.0,13,28
10699.0,5,8
9600.0,18,19
11400.0,7,3
10852.0,21,4
10044.0,1,29
10095.0,0,26
9444.0,17,27
10309.0,5,12
9505.0,14,22
11569.0,12,1
10064.0,6,14
11948.0,8,0
9900.0,29,14
9600.0,26,28
9725.0,29,17
9878.0,4,29
9800.0,7,28
9481.0,25,23
9926.0,27,13
9600.0,27,21
11930.0,2,2
10000.0,16,12
9600.0,11,22
9862.0,12,14
10400.0,26,8
11722.0,26,0
9600.0,27,21
10552.0,6,9
10052.0,14,11
10729.0,1,10
9497.0,24,28
9656.0,9,20
9420.0,20,26
9601.0,29,20
10000.0,11,13
9600.0,25,19
10005.0,12,12
9600.0,12,20
10332.0,16,8
9696.0,8,28
9458.0,15,23
9620.0,9,25
9495.0,24,22
9459.0,20,21
9561.0,11,23
10819.0,20,4
10126.0,1,18
11010.0,28,4
9676.0,14,17
9669.0,7,24
10800.0,26,5
11963.0,4,1
9482.0,24,25
10680.0,0,11
11904.0,0,3
9600.0,26,28
9600.0,12,21
9600.0,27,28
9515.0,24,28
9656.0,8,25
10600.0,5,9
11602.0,20,0
10400.0,21,7
9640.0,18,16
10000.0,7,15
10882.0,7,6
9600.0,16,18
9600.0,11,27
9618.0,8,24
10007.0,1,22
9938.0,13,13
9427.0,19,23
11789.0,27,0
11000.0,21,3
10449.0,20,7
10200.0,24,9
9491.0,23,22
10011.0,12,12
9705.0,7,26
9800.0,16,14
11151.0,13,3
9538.0,12,25
10768.0,23,5
9683.0,7,23
10600.0,21,6
9600.0,11,24
10000.0,23,11
10135.0,5,14
11277.0,15,2
11030.0,20,3
9701.0,8,22
9656.0,8,25
10895.0,22,4
10200.0,12,10
10800.0,0,10
10600.0,24,6
9911.0,4,19
10200.0,10,11
11800.0,11,0
9860.0,4,24
9481.0,14,25
9519.0,24,29
9609.0,26,18
9600.0,11,20
9689.0,27,17
9600.0,11,28
10026.0,25,11
9480.0,14,25
11075.0,16,3
10035.0,0,24
10000.0,28,13
9600.0,11,20
9492.0,25,24
10600.0,15,6
10000.0,1,25
11000.0,3,7
10671.0,8,7
9600.0,12,22
9800.0,5,28
9484.0,22,21
9516.0,22,29
9537.0,26,22
10124.0,5,14
10200.0,18,9
9600.0,20,18
10147.0,25,10
10000.0,15,12
10070.0,1,28
9800.0,16,14
9800.0,18,14
10200.0,12,10
9692.0,8,28
9827.0,4,25
10073.0,1,20
10223.0,28,10
9531.0,26,24
10119.0,7,13
9450.0,22,23
10145.0,11,11
10000.0,2,28
11299.0,14,2
9456.0,21,22
9717.0,12,17
9800.0,5,26
9436.0,18,22
9600.0,28,22
9648.0,8,26
10600.0,17,6
9600.0,13,27
11564.0,12,1
11800.0,28,0
11925.0,2,2
10600.0,12,7
11043.0,20,3
11063.0,24,3
9800.0,6,25
9600.0,10,25
10200.0,7,12
11000.0,3,7
9463.0,21,27
10113.0,0,21
9619.0,29,20
9453.0,20,24
10102.0,2,17
9731.0,13,16
9800.0,23,14
9657.0,8,25
10894.0,22,4
9440.0,21,24
11013.0,18,3
9600.0,27,20
9711.0,20,15
9483.0,21,21
9718.0,8,20
9606.0,9,26
11200.0,27,3
11643.0,23,0
9600.0,13,27
10606.0,10,7
10442.0,1,13
10400.0,1,14
11400.0,4,4
10844.0,1,9
9622.0,21,16
11200.0,7,4
10600.0,20,6
11240.0,6,4
10600.0,20,6
10200.0,24,10
9476.0,23,24
10600.0,29,7
11414.0,6,3
10200.0,20,9
9519.0,25,28
10600.0,17,6
11236.0,23,2
10400.0,5,11
9904.0,3,21
9600.0,26,19
10000.0,2,23
10600.0,15,6
9698.0,7,23
9600.0,27,21
11088.0,25,3
11400.0,17,1
9529.0,24,28
10842.0,29,5
11691.0,25,0
10061.0,11,12
11486.0,14,1
11600.0,7,2
9600.0,12,24
11800.0,11,0
11415.0,19,1
9543.0,15,29
10600.0,21,6
11014.0,29,4
9800.0,9,18
11687.0,25,0
10092.0,22,10
9495.0,13,23
11258.0,15,2
10209.0,23,9
