Efficiency,EMAIL,PHONE,FACETOFACE
7477.0,15,28,6
7107.0,11,23,24
7410.0,9,18,27
7560.0,17,7,22
7367.0,18,25,6
7859.0,0,17,21
7884.0,5,11,16
7456.0,5,23,13
8027.0,29,3,9
6692.0,27,24,28
8274.0,7,6,19
6615.0,24,22,15
7375.0,17,18,8
9618.0,3,26,0
8530.0,25,12,1
7426.0,14,29,7
7302.0,14,27,8
7778.0,16,29,4
7582.0,9,15,12
8084.0,24,22,1
7021.0,26,26,7
9327.0,10,2,8
8173.0,18,4,11
7369.0,7,22,26
8335.0,22,23,0
7732.0,4,21,29
8431.0,10,8,8
6705.0,17,27,20
7531.0,9,13,15
6943.0,28,10,18
7602.0,4,17,16
6761.0,19,24,23
7458.0,6,20,13
7375.0,11,13,18
8735.0,10,29,1
6522.0,29,22,17
6504.0,24,28,21
7696.0,5,14,15
7611.0,13,17,8
7152.0,21,11,24
7216.0,13,18,26
7237.0,14,27,9
7015.0,12,21,20
7685.0,18,7,13
7801.0,6,25,8
7371.0,7,28,29
7122.0,21,11,18
7385.0,19,9,16
7744.0,21,4,20
8551.0,7,4,23
7861.0,11,7,22
8314.0,16,7,7
7654.0,21,7,28
8025.0,20,16,3
8035.0,22,2,15
8848.0,12,0,16
8864.0,14,4,7
8201.0,17,2,20
7656.0,14,8,24
7149.0,8,24,23
7491.0,2,27,23
8436.0,12,2,20
7759.0,24,9,7
7007.0,11,27,16
9919.0,1,0,24
6686.0,25,20,13
9789.0,19,7,0
6735.0,24,16,20
7616.0,27,12,6
7697.0,9,11,24
6831.0,23,17,26
7042.0,26,22,7
8446.0,2,24,5
6905.0,14,24,24
7744.0,17,26,4
8917.0,29,1,5
7955.0,18,20,3
7589.0,0,24,21
6901.0,26,14,14
7354.0,20,11,11
7624.0,4,17,16
7157.0,9,22,15
7375.0,18,13,10
7399.0,18,27,6
13723.0,3,0,0
8238.0,13,4,26
7703.0,9,28,7
7325.0,18,11,24
9206.0,3,11,5
8377.0,4,15,7
7926.0,1,19,28
10629.0,10,3,2
7277.0,9,21,26
8691.0,20,4,6
7712.0,10,12,12
6998.0,15,19,25
6677.0,25,26,12
8053.0,5,21,7
7611.0,0,25,21
7448.0,2,25,19
11183.0,6,0,4
7081.0,10,28,23
7223.0,25,7,19
7513.0,28,8,9
8719.0,22,3,6
7791.0,27,19,2
7033.0,13,20,17
7659.0,5,15,25
7522.0,28,9,8
7595.0,6,29,9
6872.0,20,21,12
7157.0,15,13,19
7741.0,7,11,22
11649.0,9,1,1
7712.0,28,17,3
7035.0,11,28,15
6487.0,27,24,17
7144.0,19,12,16
7685.0,6,14,14
7316.0,4,24,21
7747.0,24,3,21
7564.0,9,27,8
9157.0,14,15,0
8426.0,17,3,10
8063.0,23,17,2
6629.0,22,24,19
7395.0,6,27,13
6839.0,18,27,28
8108.0,10,18,5
8119.0,10,6,15
8708.0,3,5,21
6403.0,29,29,21
6656.0,27,29,11
7545.0,1,29,22
6579.0,28,20,16
7653.0,2,24,28
6787.0,21,17,23
7139.0,15,17,13
7864.0,14,8,12
6659.0,27,29,11
6832.0,17,26,13
8300.0,3,8,21
7440.0,21,7,15
6793.0,22,24,29
7248.0,7,29,26
8316.0,3,11,11
7344.0,3,27,19
9173.0,6,20,1
7389.0,21,8,24
7098.0,26,11,12
7570.0,1,23,22
7558.0,13,11,27
7593.0,27,6,29
8143.0,4,15,9
6538.0,29,28,27
7726.0,3,17,24
6746.0,20,19,21
6784.0,26,14,19
13706.0,0,0,1
9126.0,15,7,3
8235.0,14,28,2
8639.0,14,10,4
7285.0,24,26,5
8477.0,10,3,23
7327.0,29,11,8
7225.0,10,17,21
7960.0,21,17,3
6878.0,13,26,20
7243.0,7,29,16
10328.0,16,5,0
6560.0,25,23,22
7015.0,12,21,17
8302.0,4,15,8
8692.0,12,6,7
6573.0,26,27,13
7496.0,2,22,22
7186.0,19,16,29
7376.0,26,8,12
7788.0,1,17,22
6921.0,20,27,29
7537.0,22,22,4
8900.0,16,13,1
8645.0,11,2,14
7300.0,17,16,10
6871.0,17,20,18
6912.0,27,11,21
7801.0,17,5,23
7804.0,18,27,3
11314.0,1,2,4
8013.0,0,22,10
8453.0,12,21,2
6607.0,21,29,16
9361.0,6,1,27
6554.0,27,20,17
7501.0,13,19,8
11087.0,7,4,1
8448.0,8,18,4
7897.0,6,11,25
7046.0,12,19,20
7989.0,15,6,12
7162.0,22,10,20
9191.0,19,9,1
8377.0,3,12,10
8481.0,9,4,14
8225.0,26,21,0
8478.0,23,0,27
7755.0,27,8,7
7525.0,14,14,10
7114.0,15,15,17
7965.0,22,16,3
8010.0,29,2,11
6727.0,24,17,23
7104.0,15,23,29
9158.0,2,23,2
8814.0,21,9,2
7527.0,24,6,25
10690.0,1,6,3
8388.0,23,12,2
6784.0,25,21,29
9483.0,2,3,29
7129.0,15,16,14
7515.0,25,5,15
10759.0,1,12,0
6600.0,26,18,22
8024.0,4,29,7
7596.0,20,11,9
9732.0,13,0,7
7570.0,21,9,10
6877.0,24,20,11
6677.0,22,20,23
7066.0,12,22,23
8882.0,9,16,2
8797.0,0,7,15
6649.0,19,24,20
7346.0,8,18,22
6525.0,28,27,25
6959.0,16,29,12
7727.0,4,18,28
6463.0,28,24,21
7551.0,18,22,5
6932.0,24,12,19
8253.0,5,9,28
11320.0,1,9,0
6751.0,21,22,13
8075.0,3,11,16
7174.0,22,11,14
7240.0,24,10,27
6851.0,16,21,17
7925.0,2,19,11
7334.0,20,10,26
6723.0,25,23,27
8398.0,20,0,15
8404.0,9,6,28
7649.0,22,7,11
9050.0,8,2,12
7054.0,9,24,21
6866.0,14,24,21
8123.0,2,25,7
8200.0,27,22,0
6451.0,26,29,20
6823.0,18,26,24
8188.0,3,11,13
7011.0,15,18,18
7130.0,21,14,27
10985.0,10,5,0
8979.0,20,10,1
8618.0,24,7,3
8067.0,11,8,11
10199.0,1,11,2
7607.0,4,27,11
6845.0,26,13,21
6890.0,17,25,13
7134.0,14,15,22
7472.0,12,24,8
6926.0,12,26,19
6862.0,21,29,10
9614.0,17,1,5
7930.0,4,12,14
8773.0,3,7,11
6605.0,25,23,26
7609.0,27,5,28
7329.0,21,22,6
7101.0,9,25,18
7799.0,0,17,20
7081.0,20,13,24
6629.0,26,29,26
7280.0,13,20,11
8695.0,7,3,24
7605.0,11,25,7
7166.0,15,19,28
6572.0,21,28,17
8236.0,2,14,29
9385.0,1,3,26
7088.0,17,17,27
7116.0,29,28,5
7816.0,25,2,22
6876.0,17,20,18
7576.0,26,5,14
9220.0,5,22,1
7125.0,16,23,10
7689.0,14,8,14
8074.0,28,0,22
6681.0,20,21,21
7629.0,2,29,12
8403.0,12,7,8
7691.0,6,17,11
7289.0,19,9,20
7144.0,8,22,19
9259.0,6,2,29
7340.0,6,20,16
8077.0,20,2,24
8330.0,26,11,2
7362.0,14,15,29
6791.0,27,14,17
7614.0,2,19,18
9155.0,13,10,2
6456.0,29,24,17
7513.0,11,14,28
8485.0,25,1,9
8019.0,9,7,16
8179.0,15,23,2
8366.0,29,0,11
8153.0,24,0,21
7378.0,3,28,22
7673.0,4,19,13
7319.0,11,14,21
6677.0,22,28,26
6529.0,27,28,15
10165.0,1,9,3
8699.0,4,6,27
8903.0,7,26,1
8415.0,13,2,17
7679.0,22,6,27
7979.0,23,29,1
6626.0,27,17,21
9129.0,3,2,21
6789.0,24,21,12
6739.0,20,20,20
8099.0,16,4,27
7034.0,21,22,9
7921.0,0,16,16
8051.0,26,8,5
10413.0,11,2,3
6893.0,29,29,7
9740.0,28,1,2
7569.0,20,14,7
7351.0,12,15,14
7584.0,21,15,6
7968.0,24,2,25
6659.0,24,21,19
7413.0,21,23,5
7046.0,26,10,21
8506.0,18,0,17
9341.0,16,7,2
7527.0,10,12,21
7018.0,25,28,7
7002.0,15,26,11
8595.0,3,12,8
7326.0,21,10,12
6708.0,28,18,26
7482.0,21,21,5
6895.0,19,18,21
7399.0,27,21,4
8829.0,12,25,0
9197.0,17,3,5
7212.0,7,29,15
8291.0,18,17,2
6733.0,21,25,24
6523.0,28,24,14
7882.0,28,4,10
7493.0,9,14,22
7915.0,22,23,2
6860.0,20,24,28
7358.0,9,23,12
7487.0,22,9,29
7662.0,25,10,7
7874.0,20,16,4
9430.0,11,2,7
8503.0,9,9,7
7697.0,5,26,9
6988.0,21,16,27
7294.0,18,12,27
9199.0,24,1,5
8605.0,5,29,3
9097.0,9,1,27
7123.0,28,8,19
9773.0,2,0,15
8263.0,22,4,8
7203.0,26,21,6
7558.0,3,23,27
